phylum,class,order,gp
chordata,actinopterygii,perciformes,actinopterygii
chordata,actinopterygii,tetraodontiformes,actinopterygii
chordata,actinopterygii,osmeriformes,actinopterygii
chordata,actinopterygii,myctophiformes,actinopterygii
chordata,actinopterygii,clupeiformes,actinopterygii
chordata,actinopterygii,gadiformes,actinopterygii
chordata,actinopterygii,pleuronectiformes,actinopterygii
chordata,actinopterygii,anguilliformes,actinopterygii
chordata,actinopterygii,scorpaeniformes,actinopterygii
chordata,actinopterygii,stomiiformes,actinopterygii
chordata,actinopterygii,atheriniformes,actinopterygii
chordata,actinopterygii,beloniformes,actinopterygii
chordata,actinopterygii,ophidiiformes,actinopterygii
chordata,actinopterygii,syngnathiformes,actinopterygii
chordata,actinopterygii,gonorynchiformes,actinopterygii
chordata,elasmobranchii,lamniformes,elasmobranchii
chordata,actinopterygii,aulopiformes,actinopterygii
chordata,elasmobranchii,squaliformes,elasmobranchii
chordata,elasmobranchii,rhinopristiformes,elasmobranchii
chordata,holocephali,chimaeriformes,elasmobranchii
chordata,actinopterygii,elopiformes,actinopterygii
chordata,actinopterygii,albuliformes,actinopterygii
chordata,actinopterygii,salmoniformes,actinopterygii
chordata,actinopterygii,siluriformes,actinopterygii
chordata,actinopterygii,beryciformes,actinopterygii
chordata,actinopterygii,zeiformes,actinopterygii
chordata,actinopterygii,mugiliformes,actinopterygii
chordata,actinopterygii,gasterosteiformes,actinopterygii
chordata,actinopterygii,lophiiformes,actinopterygii
chordata,elasmobranchii,hexanchiformes,elasmobranchii
chordata,actinopterygii,gobiesociformes,actinopterygii
chordata,elasmobranchii,pristiophoriformes,elasmobranchii
chordata,elasmobranchii,squatiniformes,elasmobranchii
chordata,elasmobranchii,heterodontiformes,elasmobranchii
chordata,elasmobranchii,orectolobiformes,elasmobranchii
chordata,elasmobranchii,carcharhiniformes,elasmobranchii
chordata,elasmobranchii,myliobatiformes,elasmobranchii
chordata,actinopterygii,batrachoidiformes,actinopterygii
chordata,actinopterygii,lampriformes,actinopterygii
chordata,elasmobranchii,rajiformes,elasmobranchii
chordata,elasmobranchii,torpediniformes,elasmobranchii
chordata,sarcopterygii,coelacanthiformes,actinopterygii
chordata,actinopterygii,acipenseriformes,actinopterygii
chordata,myxini,myxiniformes,myxini
chordata,cephalaspidomorphi,petromyzontiformes,myxini
chordata,actinopterygii,notacanthiformes,actinopterygii
chordata,actinopterygii,cyprinodontiformes,actinopterygii
chordata,actinopterygii,polymixiiformes,actinopterygii
chordata,actinopterygii,cetomimiformes,actinopterygii
chordata,actinopterygii,saccopharyngiformes,actinopterygii
chordata,actinopterygii,stephanoberyciformes,actinopterygii
chordata,actinopterygii,ateleopodiformes,actinopterygii
chordata,actinopterygii,cypriniformes,actinopterygii
arthropoda,malacostraca,decapoda,arthropoda
arthropoda,malacostraca,isopoda,arthropoda
arthropoda,malacostraca,stomatopoda,arthropoda
mollusca,gastropoda,neotaenioglossa,neotaenioglossa
mollusca,gastropoda,neogastropoda,neogastropoda
mollusca,bivalvia,veneroida,veneroida
mollusca,gastropoda,cephalaspidea,cephalaspidea
echinodermata,ophiuroidea,ophiurida,echinodermata
echinodermata,echinoidea,spatangoida,echinodermata
echinodermata,holothuroidea,aspidochirotida,echinodermata
annelida,polychaeta,aciculata,annelida
mollusca,gastropoda,heterostropha,heterostropha
arthropoda,maxillopoda,sessilia,arthropoda
cnidaria,hydrozoa,narcomedusae,cnidaria
mollusca,bivalvia,pholadomyoida,pholadomyoida
cnidaria,hydrozoa,leptothecata,cnidaria
arthropoda,maxillopoda,pedunculata,arthropoda
mollusca,cephalopoda,octopoda,octopoda
mollusca,cephalopoda,sepiida,sepiida
arthropoda,malacostraca,tanaidacea,arthropoda
mollusca,gastropoda,sacoglossa,sacoglossa
cnidaria,anthozoa,alcyonacea,cnidaria
mollusca,gastropoda,nudibranchia,nudibranchia
annelida,polychaeta,phyllodocida,annelida
annelida,polychaeta,eunicida,annelida
annelida,polychaeta,not assigned,annelida
annelida,polychaeta,canalipalpata,annelida
annelida,polychaeta,sabellida,annelida
arthropoda,malacostraca,cumacea,arthropoda
porifera,demospongiae,spirophorida,porifera
cnidaria,anthozoa,scleractinia,cnidaria
mollusca,polyplacophora,lepidopleurida,lepidopleurida
porifera,demospongiae,astrophorida,porifera
porifera,demospongiae,lithistida,porifera
porifera,demospongiae,homosclerophorida,porifera
porifera,demospongiae,chondrosida,porifera
arthropoda,malacostraca,amphipoda,arthropoda
echinodermata,echinoidea,echinoida,echinodermata
cnidaria,anthozoa,actiniaria,cnidaria
chordata,reptilia,squamata,reptilia
annelida,polychaeta,terebellida,annelida
arthropoda,maxillopoda,siphonostomatoida,arthropoda
arthropoda,malacostraca,mysida,arthropoda
cnidaria,hydrozoa,siphonophorae,cnidaria
arthropoda,maxillopoda,calanoida,arthropoda
arthropoda,malacostraca,euphausiacea,arthropoda
echinodermata,crinoidea,millericrinida,echinodermata
echinodermata,holothuroidea,apodida,echinodermata
echinodermata,asteroidea,paxillosida,echinodermata
echinodermata,echinoidea,clypeasteroida,echinodermata
echinodermata,asteroidea,valvatida,echinodermata
chordata,mammalia,cetacea,mammalia
echinodermata,asteroidea,notomyotida,echinodermata
echinodermata,asteroidea,spinulosida,echinodermata
chordata,aves,ciconiiformes,aves
porifera,demospongiae,dictyoceratida,porifera
porifera,demospongiae,poecilosclerida,porifera
echinodermata,echinoidea,cidaroida,echinodermata
porifera,demospongiae,hadromerida,porifera
porifera,demospongiae,halichondrida,porifera
annelida,clitellata,haplotaxida,annelida
porifera,demospongiae,haplosclerida,porifera
porifera,demospongiae,agelasida,porifera
echinodermata,asteroidea,forcipulatida,echinodermata
mollusca,polyplacophora,chitonida,chitonida
echinodermata,echinoidea,temnopleuroida,echinodermata
echinodermata,ophiuroidea,phrynophiurida,echinodermata
porifera,hexactinellida,lyssacinosida,porifera
porifera,demospongiae,verongida,porifera
arthropoda,ostracoda,podocopida,arthropoda
porifera,demospongiae,dendroceratida,porifera
echinodermata,crinoidea,comatulida,echinodermata
mollusca,gastropoda,littorinimorpha,littorinimorpha
echinodermata,echinoidea,phymosomatoida,echinodermata
echinodermata,echinoidea,diadematoida,echinodermata
echinodermata,holothuroidea,dendrochirotida,echinodermata
echinodermata,echinoidea,cassiduloida,echinodermata
echinodermata,echinoidea,holectypoida,echinodermata
echinodermata,echinoidea,echinothurioida,echinodermata
cnidaria,anthozoa,pennatulacea,cnidaria
cnidaria,anthozoa,ceriantharia,cnidaria
cnidaria,anthozoa,zoanthidea,cnidaria
arthropoda,malacostraca,lophogastrida,arthropoda
porifera,hexactinellida,hexactinosida,porifera
arthropoda,pycnogonida,pantopoda,arthropoda
mollusca,scaphopoda,dentaliida,dentaliida
echinodermata,echinoidea,salenioida,echinodermata
echinodermata,echinoidea,arbacioida,echinodermata
chordata,reptilia,testudines,reptilia
cnidaria,hydrozoa,anthoathecata,cnidaria
porifera,demospongiae,clionaida,porifera
porifera,calcarea,leucosolenida,porifera
porifera,calcarea,clathrinida,porifera
cnidaria,cubozoa,carybdeida,cnidaria
arthropoda,maxillopoda,apygophora,arthropoda
arthropoda,maxillopoda,cyclopoida,arthropoda
arthropoda,maxillopoda,harpacticoida,arthropoda
arthropoda,maxillopoda,kentrogonida,arthropoda
arthropoda,maxillopoda,poecilostomatoida,arthropoda
arthropoda,ostracoda,halocyprida,arthropoda
arthropoda,ostracoda,myodocopida,arthropoda
arthropoda,merostomata,xiphosura,arthropoda
arthropoda,branchiopoda,anostraca,arthropoda
chordata,mammalia,carnivora,mammalia
arthropoda,branchiopoda,diplostraca,arthropoda
chordata,mammalia,sirenia,mammalia
chordata,reptilia,crocodilia,reptilia
cnidaria,anthozoa,antipatharia,cnidaria
cnidaria,anthozoa,helioporacea,cnidaria
cnidaria,anthozoa,corallimorpharia,cnidaria
cnidaria,scyphozoa,coronatae,cnidaria
cnidaria,cubozoa,chirodropida,cnidaria
cnidaria,hydrozoa,limnomedusae,cnidaria
cnidaria,hydrozoa,trachymedusae,cnidaria
cnidaria,scyphozoa,rhizostomeae,cnidaria
cnidaria,scyphozoa,semaeostomeae,cnidaria
cnidaria,scyphozoa,stauromedusae,cnidaria
echinodermata,asteroidea,brisingida,echinodermata
echinodermata,crinoidea,bourgueticrinida,echinodermata
echinodermata,echinoidea,pedinoida,echinodermata
echinodermata,holothuroidea,elasipodida,echinodermata
echinodermata,holothuroidea,molpadiida,echinodermata
mollusca,scaphopoda,gadilida,gadilida
porifera,calcarea,baerida,porifera
chordata,aves,procellariiformes,aves
porifera,demospongiae,halisarcida,porifera
porifera,hexactinellida,amphidiscosida,porifera
annelida,clitellata,rhynchobdellida,annelida
porifera,hexactinellida,aulocalycoida,porifera
arthropoda,maxillopoda,mystacocaridida,arthropoda
porifera,calcarea,murrayonida,porifera
porifera,calcarea,lithonida,porifera
arthropoda,cephalocarida,brachypoda,arthropoda
arthropoda,arachnida,acariformes,arthropoda
porifera,demospongiae,tetractinellida,porifera
arthropoda,malacostraca,leptostraca,arthropoda
arthropoda,maxillopoda,akentrogonida,arthropoda
